Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
de.outstare.fortbattleplayer.player.CombatantEventDispatcher,10,20,18,11,1,11,1,21,19,18784,0.9047619047619048,0.9047619047619048,17,,,310313,8728,301585,22051,0,8,226,17,70,40,50,1372900688321,300,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,111111111111010111111,0.04938271604938271,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/79_twfbplayer/evosuite-report/data/statistics_de.outstare.fortbattleplayer.player.CombatantEventDispatcher-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619047619047,0.19047619047619047,0.4364601607558506,0.7142857142857143,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
de.outstare.fortbattleplayer.player.CombatantTurn,1,2,2,2,1,2,1,3,3,1523,1.0,1.0,2,,,28581,2058,26523,6464,0,1,36,2,10,40,50,1372901067007,300,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,111,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/79_twfbplayer/evosuite-report/data/statistics_de.outstare.fortbattleplayer.player.CombatantTurn-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
de.outstare.fortbattleplayer.player.Round,6,12,6,4,2,4,2,14,8,20233,0.5714285714285714,0.5714285714285714,5,,,307907,897,307010,19816,0,3,42,5,31,40,50,1372901174240,300,0,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,5,11001111110000,0.09259259259259259,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/79_twfbplayer/evosuite-report/data/statistics_de.outstare.fortbattleplayer.player.Round-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21428571428571427,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
de.outstare.fortbattleplayer.gui.GuiPlayer,15,30,0,17,10,2,1,40,1,6185,0.025,0.025,1,,,301646,240,301406,21781,1,1,11,1,3,40,50,1372901761583,300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0001000000000000000000000000000000000000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/79_twfbplayer/evosuite-report/data/statistics_de.outstare.fortbattleplayer.gui.GuiPlayer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
de.outstare.fortbattleplayer.player.Round,6,12,0,4,2,0,0,14,0,0,0.0,0.0,0,,,91166,15974,75192,0,0,8,295,0,0,40,50,1372951398443,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,00000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/79_twfbplayer/evosuite-report/data/statistics_de.outstare.fortbattleplayer.player.Round-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
de.outstare.fortbattleplayer.player.CombatantTurn,1,2,2,2,1,2,1,3,3,1857,1.0,1.0,2,,,30917,823,30094,6898,0,4,116,2,8,40,50,1372951648684,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,111,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/79_twfbplayer/evosuite-report/data/statistics_de.outstare.fortbattleplayer.player.CombatantTurn-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
de.outstare.fortbattleplayer.statistics.RoundStatGenerator,5,10,8,12,8,9,6,18,14,15035,0.7777777777777778,0.7777777777777778,4,,,61347,329,61018,13538,0,1,9,4,11,40,50,1372951873713,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,011111111111101100,0.26436781609195403,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/79_twfbplayer/evosuite-report/data/statistics_de.outstare.fortbattleplayer.statistics.RoundStatGenerator-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
